#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
456108000000,VALID,DISABLED,299,0,300,299,300,0,0,2,0,0,0,0,0,0,0,11,7,0,0,0,0
456324000000,VALID,DISABLED,299,0,299,299,299,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0
456560000000,VALID,DISABLED,301,0,299,217,299,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0
456784000000,VALID,DISABLED,298,0,301,278,301,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0
456988000000,VALID,DISABLED,300,0,298,295,298,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0
457264000000,VALID,DISABLED,301,0,300,300,300,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0
457516000000,VALID,DISABLED,300,0,301,297,301,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0
457744000000,VALID,DISABLED,301,0,300,295,300,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0
457984000000,VALID,DISABLED,301,0,301,294,301,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
458268000000,LOW_DISPARITY,DISABLED,302,0,301,301,301,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0
458572000000,VALID,DISABLED,300,0,302,292,302,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
458848000000,VALID,DISABLED,302,0,300,268,300,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0
459052000000,VALID,DISABLED,303,0,302,302,302,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0
459304000000,VALID,DISABLED,299,0,303,299,303,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0
459552000000,VALID,DISABLED,300,0,299,298,299,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0
459764000000,VALID,DISABLED,299,0,300,299,300,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
460004000000,VALID,DISABLED,299,0,299,299,299,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
460244000000,VALID,DISABLED,299,0,299,299,299,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
460488000000,VALID,DISABLED,299,0,299,299,299,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0
460700000000,VALID,DISABLED,299,0,299,299,299,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0
460968000000,VALID,DISABLED,299,0,299,299,299,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
461204000000,VALID,DISABLED,301,0,299,291,299,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
461448000000,VALID,DISABLED,302,0,301,301,301,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
461740000000,VALID,DISABLED,303,0,302,302,302,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0
461948000000,VALID,DISABLED,304,0,303,303,303,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
